título,precio,habitaciones,área,ascensor
"Ático en La Missio - Mercat, Palma de Mallorca",875.000€,2 hab.,169 m²,True
"Piso en Marqués de la Fontsanta, Palma de Mallorca",445.000€,5 hab.,232 m²,True
"Piso en calle Marqués de Fontsanta, 22, Marqués de la Fontsanta, Palma de Mallorca",670.000€,3 hab.,121 m²,True
"Piso en Genova, Palma de Mallorca",367.000€,4 hab.,120 m²,True
"Piso en calle Joan Maragall, Portixol-Molinar, Palma de Mallorca",1.250.000€,3 hab.,240 m²,True
"Piso en El Vivero, Palma de Mallorca",195.000€,4 hab.,106 m²,True
"Piso en La Missio - Mercat, Palma de Mallorca",750.000€,3 hab.,134 m²,True
"Piso en camino dels Reis, 100, Son Vida, Palma de Mallorca",390.000€,3 hab.,99 m²,True
"Piso en avenida de Gabriel Roca, El Terreno, Palma de Mallorca",495.000€,4 hab.,109 m²,True
"Piso en Sant Agustí, Palma de Mallorca",645.000€,1 hab.,40 m²,True
"Finca rústica en Establiments - Son Sardina, Palma de Mallorca",733.000€,3 hab.,222 m²,False
"Piso en calle del Puig de Pollença, La Bonanova - Porto Pi, Palma de Mallorca",790.000€,4 hab.,201 m²,True
"Piso en avenida de Gabriel Alomar, Foners, Palma de Mallorca",515.000€,4 hab.,168 m²,True
"Piso en Sant Jaume, Palma de Mallorca",590.000€,6 hab.,183 m²,True
"Piso en calle de Joaquim Verdaguer, Ses Cadenes-Arenal, Palma de Mallorca",232.000€,3 hab.,92 m²,True
"Piso en calle Joan Monserrat Parets, Coll d'En Rabassa, Palma de Mallorca",245.000€,1 hab.,62 m²,True
"Piso en sant rafael, La Soledat, Palma de Mallorca",219.900€,2 hab.,101 m²,True
"Piso en La Missio - Mercat, Palma de Mallorca",875.000€,4 hab.,200 m²,True
"Piso en Bons Aires, Palma de Mallorca",340.000€,2 hab.,103 m²,True
"Piso en calle de la Fàbrica, Sta Catalina - El Jonquet, Palma de Mallorca",550.000€,1 hab.,80 m²,True
"Piso en avenida de Gabriel Alomar, Sindicat, Palma de Mallorca",375.000€,5 hab.,129 m²,True
"Piso en avenida del Gran i General Consell, La Missio - Mercat, Palma de Mallorca",750.000€,4 hab.,150 m²,True
"Ático en plaza d'Espanya, La Missio - Mercat, Palma de Mallorca",1.495.000€,2 hab.,120 m²,True
"Piso en calle de Robert Graves, 30, El Terreno, Palma de Mallorca",325.000€,3 hab.,134 m²,True
"Piso en Miquel Forteza i Pinya, Coll d'En Rabassa, Palma de Mallorca",340.000€,3 hab.,108 m²,True
"Piso en Pere Garau, Palma de Mallorca",379.900€,5 hab.,185 m²,True
"Piso en calle de Caro, Sta Catalina - El Jonquet, Palma de Mallorca",420.000€,3 hab.,118 m²,True
"Piso en calle de Caro, Sta Catalina - El Jonquet, Palma de Mallorca",470.000€,2 hab.,118 m²,True
"Piso en calle de Joan Crespí, Sta Catalina - El Jonquet, Palma de Mallorca",398.000€,3 hab.,81 m²,True
"Piso en Portixol, Portixol-Molinar, Palma de Mallorca",3.600.000€,4 hab.,228 m²,True
"Piso en calle de Lope de Vega, Camp d'En Serralta , Palma de Mallorca",269.000€,1 hab.,60 m²,True
"Piso en calle de Joan Crespí, Sta Catalina - El Jonquet, Palma de Mallorca",430.000€,2 hab.,83 m²,True
"Piso en calle Torcuato Luca Tena, Pere Garau, Palma de Mallorca",409.000€,3 hab.,140 m²,True
"Piso en calle de Caro, Sta Catalina - El Jonquet, Palma de Mallorca",420.000€,3 hab.,118 m²,True
"Piso en calle Frederico Garcia Lorca, Paseo Marítimo, Palma de Mallorca",327.000€,1 hab.,90 m²,True
"Finca rústica en camino Agustí, Sindicat, Palma de Mallorca",1.100.000€,5 hab.,539 m²,False
"Dúplex en Lleo XIII, Son Ferriol, Palma de Mallorca",320.000€,3 hab.,90 m²,True
"Chalet en Son Gual-A, Son Gual, Palma de Mallorca",470.000€,4 hab.,348 m²,False
"Piso en Paseo Marítimo, Palma de Mallorca",1.200.000€,4 hab.,217 m²,True
"Casa o chalet independiente en calle de Mortitx, Son Vida, Palma de Mallorca",3.499.000€,6 hab.,440 m²,False
"Piso en Goethe, El Forti, Palma de Mallorca",234.000€,2 hab.,64 m²,True
"Piso en josep darder metge, Son Canals, Palma de Mallorca",279.000€,3 hab.,105 m²,True
"Finca rústica en Diseminado, Son Ferriol, Palma de Mallorca",385.000€,4 hab.,257 m²,False
"Dúplex en calle Estanc, La Llotja, Palma de Mallorca",875.000€,3 hab.,265 m²,True
"Piso en Sant Agustí, Palma de Mallorca",289.000€,3 hab.,102 m²,True
"Piso en Portixol-Molinar, Palma de Mallorca",1.270.000€,3 hab.,102 m²,True
"Chalet adosado en Portixol-Molinar, Palma de Mallorca",1.990.000€,5 hab.,393 m²,False
"Ático en Sant Jaume, Palma de Mallorca",1.300.000€,3 hab.,112 m²,True
"Piso en Salvia, 1, Son Dureta, Palma de Mallorca",790.000€,3 hab.,134 m²,True
"Casa o chalet independiente en S'Aranjassa - Es Pil.larí, Palma de Mallorca",1.470.000€,4 hab.,384 m²,False
"Piso en Portixol-Molinar, Palma de Mallorca",1.270.000€,3 hab.,102 m²,True
"Ático en Can Pastilla, Palma de Mallorca",980.000€,2 hab.,85 m²,True
"Piso en Son Ferriol, Palma de Mallorca",230.000€,2 hab.,75 m²,True
"Piso en Son Gual, Palma de Mallorca",380.000€,3 hab.,116 m²,True
"Casa o chalet independiente en Son Gual, Palma de Mallorca",1.700.000€,5 hab.,241 m²,False
"Piso en La Bonanova - Porto Pi, Palma de Mallorca",795.000€,4 hab.,177 m²,True
"Piso en avenida d'Alemanya, La Missio - Mercat, Palma de Mallorca",385.000€,4 hab.,130 m²,True
"Piso en calle del Taronger, Rafal Vell, Palma de Mallorca",255.000€,2 hab.,70 m²,True
"Piso en calle de Miquel Àngel Riera, Plaça de Toros, Palma de Mallorca",288.000€,3 hab.,121 m²,True
"Piso en avenida Gabriel Roca, La Bonanova - Porto Pi, Palma de Mallorca",435.000€,2 hab.,78 m²,True
"Piso en calle de Joaquim Verdaguer, 20, Ses Cadenes-Arenal, Palma de Mallorca",184.990€,3 hab.,86 m²,True
"Piso en San Lluc, Sa Indiotería - Son Castelló, Palma de Mallorca",359.000€,3 hab.,120 m²,True
"Piso en calle de Rivadavia, El Vivero, Palma de Mallorca",285.000€,2 hab.,101 m²,True
"Piso en calle Bartomeu Torres, Pere Garau, Palma de Mallorca",208.000€,4 hab.,105 m²,True
"Piso en calle de Francesc Martí i Móra, El Forti, Palma de Mallorca",325.000€,4 hab.,125 m²,True
"Piso en calle de Francesc Vidal i Sureda, La Bonanova - Porto Pi, Palma de Mallorca",945.000€,4 hab.,145 m²,True
"Ático en calle de Castellitx, Son Gual, Palma de Mallorca",505.000€,3 hab.,210 m²,True
"Piso en calle del Mestre Falla, El Vivero, Palma de Mallorca",235.000€,3 hab.,100 m²,True
"Ático en L'illa de Corfú, Coll d'En Rabassa, Palma de Mallorca",620.000€,3 hab.,192 m²,True
"Chalet en calle de Son Peretó, Son Serra - La Vileta - Son Pereto, Palma de Mallorca",490.000€,3 hab.,200 m²,False
"Piso en calle de Sant Vicenç de Paül, Cas Capiscol, Palma de Mallorca",245.000€,4 hab.,112 m²,True
"Piso en calle del Roser, L'Olivera - Amanecer, Palma de Mallorca",265.000€,3 hab.,80 m²,True
"Ático en Son Cotoner, Palma de Mallorca",480.000€,3 hab.,155 m²,True
"Ático en calle Aragón, s/n, Rafal Vell, Palma de Mallorca",300.000€,3 hab.,132 m²,True
"Casa o chalet independiente en calle de Bellver, 2, El Terreno, Palma de Mallorca",6.500.000€,6 hab.,190 m²,False
"Piso en Son Dureta, Palma de Mallorca",490.000€,3 hab.,102 m²,True
"Piso en calle de la Porta de Santa Margalida, 1, Sa Indiotería - Son Castelló, Palma de Mallorca",180.000€,3 hab.,85 m²,True
"Piso en Sindicat, Palma de Mallorca",309.000€,4 hab.,87 m²,True
"Piso en Carmen Martin Gaite, Son Cladera - Son Fuster, Palma de Mallorca",265.000€,3 hab.,94 m²,True
"Piso en calle de Pau Piferrer, El Forti, Palma de Mallorca",320.000€,3 hab.,113 m²,True
"Piso en calle de la Infanta Pau, Foners, Palma de Mallorca",288.000€,3 hab.,84 m²,True
"Piso en calle dels Àngels, Sant Jaume, Palma de Mallorca",450.000€,4 hab.,170 m²,True
"Ático en Luis Martí, Pere Garau, Palma de Mallorca",277.000€,2 hab.,74 m²,True
"Piso en Tokio, Ses Cadenes-Arenal, Palma de Mallorca",182.000€,2 hab.,63 m²,True
"Chalet adosado en avenida del cid, Son Ferriol, Palma de Mallorca",395.000€,2 hab.,160 m²,False
"Piso en carretera de Manacor, Pere Garau, Palma de Mallorca",210.000€,3 hab.,84 m²,True
"Casa o chalet independiente en Son Gual, Palma de Mallorca",794.900€,4 hab.,300 m²,False
"Piso en La Bonanova - Porto Pi, Palma de Mallorca",497.000€,3 hab.,100 m²,True
"Casa o chalet independiente en Establiments - Son Sardina, Palma de Mallorca",420.000€,4 hab.,130 m²,False
"Casa o chalet independiente en Son Espanyolet, Palma de Mallorca",499.000€,3 hab.,137 m²,False
"Casa o chalet independiente en Sant Agustí, Palma de Mallorca",3.550.000€,8 hab.,610 m²,False
"Dúplex en Ses Cadenes-Arenal, Palma de Mallorca",1.595.000€,3 hab.,325 m²,True
"Piso en calle de la Reina Maria Cristina, Plaça de Toros, Palma de Mallorca",359.000€,3 hab.,131 m²,True
"Ático en calle del Baró de Pinopar, 14, La Missio - Mercat, Palma de Mallorca",1.295.000€,3 hab.,135 m²,True
"Piso en calle del Baladre, 60, Rafal Nou - Estadi Balear - Son Malferit, Palma de Mallorca",321.000€,4 hab.,99 m²,True
"Casa o chalet independiente en calle Guatemala, Son Espanyolet, Palma de Mallorca",1.350.000€,4 hab.,422 m²,False
"Dúplex en calle de Georges Bernanos, s/n, El Terreno, Palma de Mallorca",450.000€,3 hab.,100 m²,True
"Piso en calle de la Reina Cristina, Plaça de Toros, Palma de Mallorca",359.000€,3 hab.,131 m²,True
"Piso en calle del Baró de Pinopar, 14, La Missio - Mercat, Palma de Mallorca",895.000€,3 hab.,135 m²,True
"Piso en Sta Catalina - El Jonquet, Palma de Mallorca",180.000€,1 hab.,36 m²,False
"Piso en miquel de forteza i pinya, Coll d'En Rabassa, Palma de Mallorca",340.000€,3 hab.,108 m²,True
"Piso en calle del Baró de Pinopar, 14, La Missio - Mercat, Palma de Mallorca",895.000€,3 hab.,135 m²,True
"Piso en calle del Baró de Pinopar, 14, La Missio - Mercat, Palma de Mallorca",895.000€,3 hab.,135 m²,True
"Ático en calle Cases De Son Ametler, 30, El Vivero, Palma de Mallorca",253.000€,3 hab.,130 m²,True
"Piso en calle Valparaíso, Nou Llevant, Palma de Mallorca",269.000€,3 hab.,83 m²,True
"Chalet adosado en calle de la Camamilla, Son Serra - La Vileta - Son Pereto, Palma de Mallorca",349.000€,2 hab.,74 m²,False
"Piso en calle de l'Ermità, Sant Jaume, Palma de Mallorca",299.900€,1 hab.,56 m²,True
"Piso en Portixol-Molinar, Palma de Mallorca",498.000€,2 hab.,97 m²,True
"Piso en calle de Vicenç Joan i Rosselló, 24, Son Dameto, Palma de Mallorca",249.000€,2 hab.,93 m²,True
"Piso en calle Ciutat de Querétaro, Nou Llevant, Palma de Mallorca",314.000€,4 hab.,105 m²,True
"Piso en Illes Pitiüses, Coll d'En Rabassa, Palma de Mallorca",199.000€,3 hab.,87 m²,True
"Finca rústica en camino 8408- son ferriol, Cort, Palma de Mallorca",999.950€,7 hab.,499 m²,False
"Piso en Jeroni Alemany, Son Cotoner, Palma de Mallorca",239.000€,3 hab.,100 m²,True
"Piso en Monti-Sión, Palma de Mallorca",1.955.000€,3 hab.,226 m²,True
"Chalet en El Vivero, Palma de Mallorca",800.000€,6 hab.,307 m²,False
"Dúplex en Sant Nicolau, Palma de Mallorca",1.790.000€,4 hab.,250 m²,True
"Chalet en Genova, Palma de Mallorca",2.700.000€,4 hab.,362 m²,False
"Piso en Monti-Sión, Palma de Mallorca",1.955.000€,3 hab.,226 m²,True
"Dúplex en Sant Nicolau, Palma de Mallorca",1.790.000€,4 hab.,250 m²,True
"Piso en Son Armadams, Palma de Mallorca",459.000€,3 hab.,130 m²,True
"Piso en Cort, Palma de Mallorca",830.000€,2 hab.,142 m²,True
"Chalet en Genova, Palma de Mallorca",2.700.000€,4 hab.,362 m²,False
"Piso en calle del Pare Guillem Caselles, Coll d'En Rabassa, Palma de Mallorca",350.000€,3 hab.,146 m²,True
"Piso en Portixol-Molinar, Palma de Mallorca",395.000€,2 hab.,100 m²,True
"Casa o chalet independiente en Secar de la Real, Palma de Mallorca",1.195.000€,4 hab.,320 m²,False
"Casa o chalet independiente en calle de Bartomeu Calatayud, 28, Son Cladera - Son Fuster, Palma de Mallorca",345.000€,5 hab.,174 m²,False
"Dúplex en calle Portella, Monti-Sión, Palma de Mallorca",1.775.000€,2 hab.,212 m²,True
"Piso en calle de Margaluz, Sant Agustí, Palma de Mallorca",895.000€,2 hab.,85 m²,True
"Casa o chalet independiente en Son Xigala, Palma de Mallorca",1.390.000€,4 hab.,412 m²,False
"Piso en Ma-1C, Sant Agustí, Palma de Mallorca",2.195.000€,3 hab.,141 m²,True
"Piso en calle Barcarola, 1, 3, Cas Capiscol, Palma de Mallorca",311.000€,2 hab.,85 m²,True
"Dúplex en calle Portella, Monti-Sión, Palma de Mallorca",1.260.000€,2 hab.,169 m²,True
"Ático en calle Barcarola, 1, 3, Cas Capiscol, Palma de Mallorca",358.000€,2 hab.,81 m²,True
"Piso en calle Barcarola, 1, 3, Cas Capiscol, Palma de Mallorca",293.000€,3 hab.,90 m²,True
"Dúplex en calle Portella, Monti-Sión, Palma de Mallorca",1.235.000€,2 hab.,144 m²,True
"Piso en calle del Pare Isla, 25, La Soledat, Palma de Mallorca",199.000€,3 hab.,97 m²,True
"Ático en Casco antiguo, 1, Cort, Palma de Mallorca",1.395.000€,2 hab.,120 m²,True
"Piso en plaza Economo Parera, El Terreno, Palma de Mallorca",2.500.000€,3 hab.,225 m²,True
"Piso en Ses Cadenes-Arenal, Palma de Mallorca",695.000€,3 hab.,120 m²,True
"Casa o chalet independiente en calle de Robert Graves, El Terreno, Palma de Mallorca",3.450.000€,4 hab.,515 m²,False
"Piso en calle Pere de Fraga, Sant Jaume, Palma de Mallorca",420.000€,2 hab.,96 m²,True
"Chalet adosado en calle del Barranc, Genova, Palma de Mallorca",1.300.000€,3 hab.,264 m²,False
"Casa o chalet independiente en Cala Major, Palma de Mallorca",2.500.000€,1 hab.,728 m²,False
"Piso en Jeroni Antich, La Missio - Mercat, Palma de Mallorca",475.000€,4 hab.,141 m²,True
"Finca rústica en Establiments - Son Sardina, Palma de Mallorca",1.275.000€,4 hab.,400 m²,False
"Piso en avenida de Joan Miró, El Terreno, Palma de Mallorca",695.000€,2 hab.,100 m²,True
"Ático en Quartereta, Sindicat, Palma de Mallorca",199.000€,2 hab.,45 m²,True
"Piso en calle de l'Estanc, La Llotja, Palma de Mallorca",875.000€,3 hab.,252 m²,True
"Piso en Jeroni Antich, La Missio - Mercat, Palma de Mallorca",475.000€,4 hab.,141 m²,True
"Piso en l'armador velenti, El Vivero, Palma de Mallorca",255.000€,3 hab.,94 m²,True
"Casa o chalet independiente en Sa Indiotería - Son Castelló, Palma de Mallorca",993.000€,5 hab.,207 m²,False
"Casa o chalet independiente en calle de la Barrera, Son Espanyolet, Palma de Mallorca",690.000€,5 hab.,310 m²,False
"Piso en calle del Marquès de la Fontsanta, Marqués de la Fontsanta, Palma de Mallorca",585.000€,3 hab.,120 m²,True
"Piso en calle de l'Arxiduc Lluís Salvador, Plaça de Toros, Palma de Mallorca",570.000€,3 hab.,164 m²,True
"Piso en calle del Passerell, Son Xigala, Palma de Mallorca",960.000€,4 hab.,176 m²,True
"Piso en calle de Josep Darder Metge, Son Canals, Palma de Mallorca",357.000€,4 hab.,157 m²,True
"Piso en calle d'Onofre Jaume, Can Capes, Palma de Mallorca",310.000€,2 hab.,98 m²,True
"Casa o chalet independiente en calle del Vicari Joaquim Fuster, Portixol-Molinar, Palma de Mallorca",2.800.000€,9 hab.,264 m²,False
"Piso en calle de la Llibertat, Sta Catalina - El Jonquet, Palma de Mallorca",299.000€,2 hab.,60 m²,True
"Piso en calle de Murillo, Sta Catalina - El Jonquet, Palma de Mallorca",690.000€,4 hab.,162 m²,True
"Piso en calle de Ramon Berenguer III, Bons Aires, Palma de Mallorca",495.000€,3 hab.,162 m²,True
"Ático en camino de son moix, Zona Colegios - Son Moix, Palma de Mallorca",385.000€,2 hab.,115 m²,True
"Chalet pareado en calle de la Sípia, Can Pastilla, Palma de Mallorca",825.000€,4 hab.,289 m²,False
"Casa o chalet independiente en calle Estepa Blanca, Puntiró, Palma de Mallorca",1.060.000€,5 hab.,323 m²,False
"Piso en avenida de Jaume III, Sant Jaume, Palma de Mallorca",875.000€,3 hab.,199 m²,True
"Piso en calle de Fra Juníper Serra, Son Armadams, Palma de Mallorca",700.000€,4 hab.,135 m²,True
"Ático en l,illa de corfu, Coll d'En Rabassa, Palma de Mallorca",620.000€,3 hab.,192 m²,True
"Ático en calle de Santiago Rusiñol, La Missio - Mercat, Palma de Mallorca",639.000€,3 hab.,174 m²,True
"Piso en Unio, Sant Jaume, Palma de Mallorca",1.376.000€,2 hab.,135 m²,True
"Piso en Portixol-Molinar, Palma de Mallorca",550.000€,2 hab.,150 m²,True
"Chalet pareado en Sipia, 38, Can Pastilla, Palma de Mallorca",825.000€,4 hab.,289 m²,False
"Piso en Joan Crespí, 10, Sta Catalina - El Jonquet, Palma de Mallorca",420.000€,4 hab.,145 m²,True
"Piso en calle d'Aragó, El Vivero, Palma de Mallorca",275.000€,3 hab.,101 m²,True
"Piso en calle de Llucmajor, 47, Portixol-Molinar, Palma de Mallorca",550.000€,2 hab.,97 m²,True
"Ático en avenida de Mexico, 5, Nou Llevant, Palma de Mallorca",840.000€,3 hab.,130 m²,True
"Piso en Plaça de Toros, Palma de Mallorca",289.000€,3 hab.,74 m²,True
"Casa o chalet independiente en Sant Jaume, Palma de Mallorca",1.050.000€,4 hab.,280 m²,False
"Ático en calle Gabriel Miró, 8, El Forti, Palma de Mallorca",649.000€,3 hab.,140 m²,True
"Chalet pareado en Son Llull, s/n, Son Serra - La Vileta - Son Pereto, Palma de Mallorca",455.000€,4 hab.,220 m²,False
"Ático en Pascual Ribot, Camp d'En Serralta , Palma de Mallorca",250.000€,2 hab.,86 m²,True
"Ático en camino Salard, s/n, Rafal Nou - Estadi Balear - Son Malferit, Palma de Mallorca",145.000€,3 hab.,75 m²,True
"Piso en amilcar, 15, Ses Cadenes-Arenal, Palma de Mallorca",175.000€,2 hab.,70 m²,True
"Piso en calle de Juan Gris, 57, Son Cotoner, Palma de Mallorca",437.000€,3 hab.,161 m²,True
"Piso en Pere Garau, Palma de Mallorca",173.000€,3 hab.,80 m²,True
"Casa o chalet independiente en Urb bella vista, s/n, Ses Cadenes-Arenal, Palma de Mallorca",940.000€,5 hab.,328 m²,False
"Dúplex en Antonio Gaudi, Son Dameto, Palma de Mallorca",270.000€,3 hab.,102 m²,True
"Piso en Son Cotoner, Son Cotoner, Palma de Mallorca",240.000€,2 hab.,85 m²,True
"Casa o chalet independiente en Diseminado 4225- Establiments, s/n, Establiments - Son Sardina, Palma de Mallorca",1.100.000€,4 hab.,190 m²,False
"Piso en Passatge de la Prosperitat, s/n, Rafal Vell, Palma de Mallorca",179.000€,3 hab.,83 m²,True
"Casa o chalet independiente en calle de Francesc Vidal i Sureda, La Bonanova - Porto Pi, Palma de Mallorca",5.800.000€,4 hab.,618 m²,False
"Chalet en calle del Puig de Pollença, La Bonanova - Porto Pi, Palma de Mallorca",1.330.000€,5 hab.,167 m²,False
"Piso en calle Ma-1C, Sant Agustí, Palma de Mallorca",1.850.000€,2 hab.,136 m²,True
"Finca rústica en camino de Muntanya, S'Aranjassa - Es Pil.larí, Palma de Mallorca",1.950.000€,5 hab.,483 m²,False
"Piso en avenida de Joan Miró, La Bonanova - Porto Pi, Palma de Mallorca",990.000€,3 hab.,160 m²,True
"Casa o chalet independiente en calle del Falcó, Genova, Palma de Mallorca",4.900.000€,4 hab.,600 m²,False
"Piso en calle de Son Puig, Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",340.000€,1 hab.,51 m²,True
"Casa o chalet independiente en calle del Puig de Pollença, La Bonanova - Porto Pi, Palma de Mallorca",5.800.000€,4 hab.,551 m²,False
"Piso en calle de Sant Magí, 22, Sta Catalina - El Jonquet, Palma de Mallorca",395.000€,2 hab.,96 m²,True
"Finca rústica en Diseminado 8434- Son Ferriol, Son Ferriol, Palma de Mallorca",385.000€,4 hab.,257 m²,False
"Piso en calle d'Escòcia, Sant Agustí, Palma de Mallorca",950.000€,4 hab.,120 m²,True
"Ático en calle de Joan Mascaró i Fornés, Secar de la Real, Palma de Mallorca",495.000€,3 hab.,97 m²,True
"Piso en Son Ferriol, Palma de Mallorca",274.000€,2 hab.,87 m²,True
"Piso en calle d'Avinyó, Son Armadams, Palma de Mallorca",650.000€,2 hab.,77 m²,True
"Ático en calle de Castellitx, Son Gual, Palma de Mallorca",535.000€,3 hab.,210 m²,True
"Piso en calle de Versalles, La Bonanova - Porto Pi, Palma de Mallorca",1.575.000€,4 hab.,320 m²,True
"Casa o chalet independiente en calle de Francesc Vidal i Sureda, La Bonanova - Porto Pi, Palma de Mallorca",5.800.000€,4 hab.,551 m²,False
"Piso en avenida de Sant Ferran, Son Dameto, Palma de Mallorca",260.000€,3 hab.,113 m²,True
"Piso en Son Ferriol, Palma de Mallorca",274.000€,2 hab.,87 m²,True
"Piso en avenida de Joan Miró, La Bonanova - Porto Pi, Palma de Mallorca",990.000€,3 hab.,160 m²,True
"Piso en calle de Sant Magí, 22, Sta Catalina - El Jonquet, Palma de Mallorca",395.000€,2 hab.,96 m²,True
"Finca rústica en camino de Muntanya, S'Aranjassa - Es Pil.larí, Palma de Mallorca",1.950.000€,5 hab.,483 m²,False
"Chalet pareado en Dos de mayo, El Terreno, Palma de Mallorca",1.725.000€,6 hab.,236 m²,False
"Finca rústica en Diseminado Can 8729- Sa Casa Blanca, 10, Sa Casa Blanca, Palma de Mallorca",2.500.000€,9 hab.,1.900 m²,False
"Chalet en Son Vida, Palma de Mallorca",6.900.000€,5 hab.,1.061 m²,False
"Piso en calle de Can Savellà, Cort, Palma de Mallorca",299.000€,1 hab.,75 m²,True
"Piso en riera miguel angel, Plaça de Toros, Palma de Mallorca",317.000€,4 hab.,130 m²,True
"Piso en oms, La Missio - Mercat, Palma de Mallorca",280.000€,3 hab.,95 m²,True
"Piso en pere dezcallar i net, La Missio - Mercat, Palma de Mallorca",365.000€,2 hab.,95 m²,True
"Piso en calle Joan Crespi, 45, Son Espanyolet, Palma de Mallorca",989.000€,2 hab.,111 m²,True
"Piso en Costa de Santa Creu, La Llotja, Palma de Mallorca",435.000€,3 hab.,127 m²,True
"Piso en Sta Catalina - El Jonquet, Palma de Mallorca",299.000€,2 hab.,58 m²,True
"Piso en calle Joan Crespi, 45, Son Espanyolet, Palma de Mallorca",499.000€,1 hab.,73 m²,True
"Casa o chalet independiente en Ma-3011, s/n, Puntiró, Palma de Mallorca",3.500.000€,4 hab.,350 m²,False
"Chalet adosado en calle de Triana, Son Espanyolet, Palma de Mallorca",2.200.000€,3 hab.,218 m²,False
"Finca rústica en bellavista, Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",990.000€,16 hab.,590 m²,False
"Dúplex en calle Campana, 2, Cort, Palma de Mallorca",3.445.000€,4 hab.,375 m²,True
"Piso en calle de Jaume de Santacília, Sant Jaume, Palma de Mallorca",425.000€,2 hab.,78 m²,True
"Casa o chalet independiente en calle de Josep Ventayol, Son Rapinya - Los Almendros, Palma de Mallorca",980.000€,6 hab.,321 m²,False
"Piso en calle Joan Crespi, 45, Son Espanyolet, Palma de Mallorca",1.349.000€,3 hab.,152 m²,True
"Casa o chalet independiente en calle del Calamar, Can Pastilla, Palma de Mallorca",1.500.000€,4 hab.,548 m²,False
"Ático en La Missio - Mercat, Palma de Mallorca",495.000€,1 hab.,76 m²,True
"Piso en calle de Jeroni de Berard, 17, Plaça de Toros, Palma de Mallorca",210.000€,2 hab.,63 m²,True
"Piso en calle san lluc, 9, Sa Indiotería - Son Castelló, Palma de Mallorca",360.000€,3 hab.,120 m²,True
"Casa o chalet independiente en calle D, Ses Cadenes-Arenal, Palma de Mallorca",370.000€,3 hab.,150 m²,False
"Piso en calle de Llucmajor, Portixol-Molinar, Palma de Mallorca",750.000€,3 hab.,120 m²,True
"Piso en Son Cladera - Son Fuster, Palma de Mallorca",266.000€,3 hab.,93 m²,True
"Chalet en calle de Pomar, Establiments - Son Sardina, Palma de Mallorca",1.260.000€,4 hab.,1.283 m²,False
"Casa o chalet independiente en calle dels xeremiers, Secar de la Real, Palma de Mallorca",1.460.000€,4 hab.,418 m²,False
"Piso en calle de Sant Sebastià, La Seu, Palma de Mallorca",1.395.000€,2 hab.,145 m²,True
"Piso en Pare Cerda, Son Dureta, Palma de Mallorca",490.000€,3 hab.,104 m²,True
"Chalet adosado en Secar de la Real, Palma de Mallorca",540.000€,3 hab.,157 m²,False
"Piso en pasaje Guillem de Torella, La Missio - Mercat, Palma de Mallorca",785.000€,4 hab.,329 m²,True
"Piso en Son Cladera - Son Fuster, Palma de Mallorca",266.000€,3 hab.,93 m²,True
"Piso en calle de Llucmajor, Portixol-Molinar, Palma de Mallorca",750.000€,3 hab.,120 m²,True
"Ático en calle de Can Pont i Vic, Monti-Sión, Palma de Mallorca",1.195.000€,4 hab.,143 m²,True
"Piso en S'Aranjassa - Es Pil.larí, Palma de Mallorca",259.000€,3 hab.,95 m²,True
"Piso en calle dels Sobreposats, Sta Catalina - El Jonquet, Palma de Mallorca",580.000€,4 hab.,140 m²,True
"Piso en calle del Marquès de la Sènia, Paseo Marítimo, Palma de Mallorca",950.000€,4 hab.,247 m²,True
"Piso en Olmos, La Missio - Mercat, Palma de Mallorca",570.000€,2 hab.,100 m²,True
"Piso en Camp Redo, Palma de Mallorca",299.900€,4 hab.,142 m²,True
"Chalet en calle de Pomar, Establiments - Son Sardina, Palma de Mallorca",1.260.000€,4 hab.,1.283 m²,False
"Piso en calle Nunó Sanç, Hostalets - Son Fortesa Sud, Palma de Mallorca",350.000€,2 hab.,156 m²,True
"Piso en calle d'Anníbal, Sta Catalina - El Jonquet, Palma de Mallorca",400.000€,2 hab.,54 m²,True
"Dúplex en calle de la Pietat, Sant Jaume, Palma de Mallorca",850.000€,3 hab.,170 m²,True
"Dúplex en calle de Vista Alegre, La Bonanova - Porto Pi, Palma de Mallorca",1.475.000€,4 hab.,190 m²,True
"Piso en VI, 16, Cort, Palma de Mallorca",365.000€,1 hab.,87 m²,True
"Piso en avenida de Gabriel Roca, 44, La Bonanova - Porto Pi, Palma de Mallorca",369.000€,2 hab.,80 m²,True
"Dúplex en calle de la Portella, Monti-Sión, Palma de Mallorca",1.775.000€,2 hab.,212 m²,True
"Casa o chalet independiente en Son Ximelis, s/n, Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",1.680.000€,6 hab.,197 m²,False
"Dúplex en calle de la Portella, Monti-Sión, Palma de Mallorca",1.235.000€,2 hab.,144 m²,True
"Chalet adosado en calle de Sant Miquel, Sindicat, Palma de Mallorca",5.450.000€,10 hab.,480 m²,False
"Piso en avenida de Gabriel Roca, Paseo Marítimo, Palma de Mallorca",1.000.000€,2 hab.,150 m²,True
"Ático en Fra Juniper Serra, Son Armadams, Palma de Mallorca",1.100.000€,4 hab.,180 m²,True
"Piso en Unió, 1, Sant Jaume, Palma de Mallorca",1.376.000€,2 hab.,135 m²,True
